"Name","AlbumId","Milliseconds","Bytes"
Quilombo Groove [Instrumental],24,151823,5042447
Macô,24,249600,8253934
Um Passeio No Mundo Livre,24,240091,7984291
Samba Do Lado,24,227317,7541688
Maracatu Atômico,24,284264,9670057
O Encontro De Isaac Asimov Com Santos Dumont No Céu,24,99108,3240816
Corpo De Lama,24,232672,7714954
Sobremesa,24,240091,7960868
Manguetown,24,194560,6475159
Um Satélite Na Cabeça,24,126615,4272821
Baião Ambiental [Instrumental],24,152659,5198539
Sangue De Bairro,24,132231,4415557
Enquanto O Mundo Explode,24,88764,2968650
Interlude Zumbi,24,71627,2408550
Criança De Domingo,24,208222,6984813
Amor De Muito,24,175333,5881293
Samidarish [Instrumental],24,272431,8911641
Maracatu Atômico [Atomic Version],24,273084,9019677
Maracatu Atômico [Ragga Mix],24,210155,6986421
Maracatu Atômico [Trip Hop],24,221492,7380787
Banditismo Por Uma Questa,25,307095,10251097
Banditismo Por Uma Questa,25,243644,8147224
Rios Pontes & Overdrives,25,286720,9659152
Cidade,25,216346,7241817
Praiera,25,183640,6172781
Samba Makossa,25,271856,9095410
Da Lama Ao Caos,25,251559,8378065
Maracatu De Tiro Certeiro,25,88868,2901397
Salustiano Song,25,215405,7183969
Antene Se,25,248372,8253618
Risoflora,25,105586,3536938
Lixo Do Mangue,25,193253,6534200
Computadores Fazem Arte,25,404323,13702771
Girassol,26,249808,8327676
A Sombra Da Maldade,26,230922,7697230
Johnny B. Goode,26,254615,8505985
Soldado Da Paz,26,194220,6455080
Firmamento,26,222145,7402658
Extra,26,304352,10078050
O Erê,26,236382,7866924
Podes Crer,26,232280,7747747
A Estrada,26,248842,8275673
Berlim,26,207542,6920424
Já Foi,26,221544,7388466
Onde Você Mora?,26,256026,8502588
Pensamento,26,173008,5748424
Conciliação,26,257619,8552474
Realidade Virtual,26,195239,6503533
Mensagem,26,225332,7488852
A Cor Do Sol,26,231392,7663348
Onde Você Mora?,27,298396,10056970
O Erê,27,206942,6950332
A Sombra Da Maldade,27,285231,9544383
A Estrada,27,282174,9344477
Falar A Verdade,27,244950,8189093
Firmamento,27,225488,7507866
Pensamento,27,192391,6399761
Realidade Virtual,27,240300,8069934
Doutor,27,178155,5950952
Na Frente Da TV,27,289750,9633659
Downtown,27,239725,8024386
Sábado A Noite,27,267363,8895073
A Cor Do Sol,27,273031,9142937
Eu Também Quero Beijar,27,211147,7029400
Noite Do Prazer,28,311353,10309980
À Francesa,28,244532,8150846
Cada Um Cada Um (A Namoradeira),28,253492,8441034
Linha Do Equador,28,244715,8123466
Amor Demais,28,254040,8420093
Férias,28,264202,8731945
Gostava Tanto De Você,28,230452,7685326
Flor Do Futuro,28,275748,9205941
Felicidade Urgente,28,266605,8873358
Livre Pra Viver,28,214595,7111596
"Dig-Dig, Lambe-Lambe (Ao Vivo)",29,205479,6892516
Pererê,29,198661,6643207
TriboTchan,29,194194,6507950
"Tapa Aqui, Descobre Ali",29,188630,6327391
Daniela,29,230791,7748006
Bate Lata,29,206733,7034985
Garotas do Brasil,29,210155,6973625
Levada do Amor (Ailoviu),29,190093,6457752
Lavadeira,29,214256,7254147
Reboladeira,29,210599,7027525
É que Nessa Encarnação Eu Nasci Manga,29,196519,6568081
Reggae Tchan,29,206654,6931328
My Love,29,203493,6772813
Latinha de Cerveja,29,166687,5532564
You Shook Me,30,315951,10249958
I Can't Quit You Baby,30,263836,8581414
Communication Breakdown,30,192653,6287257
Dazed and Confused,30,401920,13035765
The Girl I Love She Got Long Black Wavy Hair,30,183327,5995686
What is and Should Never Be,30,260675,8497116
Communication Breakdown(2),30,161149,5261022
Travelling Riverside Blues,30,312032,10232581
Whole Lotta Love,30,373394,12258175
Somethin' Else,30,127869,4165650
Communication Breakdown(3),30,185260,6041133
I Can't Quit You Baby(2),30,380551,12377615
You Shook Me(2),30,619467,20138673
How Many More Times,30,711836,23092953
Debra Kadabra,31,234553,7649679
Carolina Hard-Core Ecstasy,31,359680,11731061
Sam With The Showing Scalp Flat Top,31,171284,5572993
Poofter's Froth Wyoming Plans Ahead,31,183902,6007019
"200 Years Old",31,272561,8912465
Cucamonga,31,144483,4728586
Advance Romance,31,677694,22080051
Man With The Woman Head,31,88894,2922044
Muffin Man,31,332878,10891682
Vai-Vai 2001,32,276349,9402241
X-9 2001,32,273920,9310370
Gavioes 2001,32,282723,9616640
Nene 2001,32,284969,9694508
Rosas De Ouro 2001,32,284342,9721084
Mocidade Alegre 2001,32,282488,9599937
Camisa Verde 2001,32,283454,9633755
Leandro De Itaquera 2001,32,274808,9451845
Tucuruvi 2001,32,287921,9883335
Aguia De Ouro 2001,32,284160,9698729
Ipiranga 2001,32,248293,8522591
Morro Da Casa Verde 2001,32,284708,9718778
Perola Negra 2001,32,281626,9619196
Sao Lucas 2001,32,296254,10020122
Guanabara,33,247614,8499591
Mas Que Nada,33,248398,8255254
Vôo Sobre o Horizonte,33,225097,7528825
A Paz,33,263183,8619173
Wave (Vou te Contar),33,271647,9057557
Água de Beber,33,146677,4866476
Samba da Bençaco,33,282200,9440676
Pode Parar,33,179408,6046678
Menino do Rio,33,262713,8737489
Ando Meio Desligado,33,195813,6547648
Mistério da Raça,33,184320,6191752
All Star,33,176326,5891697
Menina Bonita,33,237087,7938246
Pescador de Ilusões,33,245524,8267067
À Vontade (Live Mix),33,180636,5972430
Maria Fumaça,33,141008,4743149
Sambassim (dj patife remix),33,213655,7243166
Garota De Ipanema,34,279536,9141343
Tim Tim Por Tim Tim,34,213237,7143328
Tarde Em Itapoã,34,313704,10344491
Tanto Tempo,34,170292,5572240
Eu Vim Da Bahia - Live,34,157988,5115428
Alô Alô Marciano,34,238106,8013065
Linha Do Horizonte,34,279484,9275929
Only A Dream In Rio,34,371356,12192989
Abrir A Porta,34,271960,8991141
Alice,34,165982,5594341
Momentos Que Marcam,34,280137,9313740
Um Jantar Pra Dois,34,237714,7819755
Bumbo Da Mangueira,34,270158,9073350
Mr Funk Samba,34,213890,7102545
Santo Antonio,34,162716,5492069
Por Você,34,205557,6792493
Só Tinha De Ser Com Você,34,389642,13085596
Free Speech For The Dumb,35,155428,5076048
It's Electric,35,213995,6978601
Sabbra Cadabra,35,380342,12418147
Turn The Page,35,366524,11946327
Die Die My Darling,35,149315,4867667
Loverman,35,472764,15446975
Mercyful Fate,35,671712,21942829
Astronomy,35,397531,13065612
Whiskey In The Jar,35,305005,9943129
Tuesday's Gone,35,545750,17900787
The More I See,35,287973,9378873
A Kind Of Magic,36,262608,8689618
Under Pressure,36,236617,7739042
Radio GA GA,36,343745,11358573
I Want It All,36,241684,7876564
I Want To Break Free,36,259108,8552861
Innuendo,36,387761,12664591
It's A Hard Life,36,249417,8112242
Breakthru,36,249234,8150479
Who Wants To Live Forever,36,297691,9577577
Headlong,36,273057,8921404
The Miracle,36,294974,9671923
I'm Going Slightly Mad,36,248032,8192339
The Invisible Man,36,238994,7920353
Hammer To Fall,36,220316,7255404
Friends Will Be Friends,36,248920,8114582
The Show Must Go On,36,263784,8526760
One Vision,36,242599,7936928
Detroit Rock City,37,218880,7146372
Black Diamond,37,314148,10266007
Hard Luck Woman,37,216032,7109267
Sure Know Something,37,242468,7939886
Love Gun,37,196257,6424915
Deuce,37,185077,6097210
Goin' Blind,37,216215,7045314
Shock Me,37,227291,7529336
Do You Love Me,37,214987,6976194
She,37,248346,8229734
I Was Made For Loving You,37,271360,9018078
Shout It Out Loud,37,219742,7194424
God Of Thunder,37,255791,8309077
Calling Dr. Love,37,225332,7395034
Beth,37,166974,5360574
Strutter,37,192496,6317021
Rock And Roll All Nite,37,173609,5735902
Cold Gin,37,262243,8609783
Plaster Caster,37,207333,6801116
God Gave Rock 'n' Roll To You,37,320444,10441590
Heart of the Night,38,273737,9098263
De La Luz,38,315219,10518284
Westwood Moon,38,295627,9765802
Midnight,38,266866,8851060
Playtime,38,273580,9070880
Surrender,38,287634,9422926
Valentino's,38,296124,9848545
Believe,38,310778,10317185
As We Sleep,38,316865,10429398
When Evening Falls,38,298135,9863942
J Squared,38,288757,9480777
Best Thing,38,274259,9069394
Maria,39,167262,5484747
Poprocks And Coke,39,158354,5243078
Longview,39,234083,7714939
Welcome To Paradise,39,224208,7406008
Basket Case,39,181629,5951736
When I Come Around,39,178364,5839426
She,39,134164,4425128
J.A.R. (Jason Andrew Relva),39,170997,5645755
Geek Stink Breath,39,135888,4408983
Brain Stew,39,193149,6305550
Jaded,39,90331,2950224
Walking Contradiction,39,151170,4932366
Stuck With Me,39,135523,4431357
Hitchin' A Ride,39,171546,5616891
Good Riddance (Time Of Your Life),39,153600,5075241
Redundant,39,198164,6481753
Nice Guys Finish Last,39,170187,5604618
Minority,39,168803,5535061
Warning,39,221910,7343176
Waiting,39,192757,6316430
Macy's Day Parade,39,213420,7075573
Into The Light,40,76303,2452653
River Song,40,439510,14359478
She Give Me ...,40,252551,8385478
Don't You Cry,40,347036,11269612
Love Is Blind,40,344999,11409720
Slave,40,291892,9425200
Cry For Love,40,293015,9567075
Living On Love,40,391549,12785876
Midnight Blue,40,298631,9750990
Too Many Tears,40,359497,11810238
Don't Lie To Me,40,283585,9288007
Wherever You May Go,40,239699,7803074
Grito De Alerta,41,202213,6539422
Não Dá Mais Pra Segurar (Explode Coração),41,219768,7083012
Começaria Tudo Outra Vez,41,196545,6473395
O Que É O Que É ?,41,259291,8650647
Sangrando,41,169717,5494406
"Diga Lá, Coração",41,255921,8280636
Lindo Lago Do Amor,41,249678,8353191
Eu Apenas Queria Que Voçê Soubesse,41,155637,5130056
Com A Perna No Mundo,41,227448,7747108
E Vamos À Luta,41,222406,7585112
Um Homem Também Chora (Guerreiro Menino),41,207229,6854219
Comportamento Geral,41,181577,5997444
Ponto De Interrogação,41,180950,5946265
"Espere Por Mim, Morena",41,207072,6796523
Meia-Lua Inteira,23,222093,7466288
Voce e Linda,23,242938,8050268
Um Indio,23,195944,6453213
Podres Poderes,23,259761,8622495
Voce Nao Entende Nada - Cotidiano,23,421982,13885612
O Estrangeiro,23,374700,12472890
Menino Do Rio,23,147670,4862277
Qualquer Coisa,23,193410,6372433
Sampa,23,185051,6151831
Queixa,23,299676,9953962
O Leaozinho,23,184398,6098150
Fora Da Ordem,23,354011,11746781
Terra,23,401319,13224055
"Alegria, Alegria",23,169221,5497025
Balada Do Louco,42,241057,7852328
Ando Meio Desligado,42,287817,9484504
Top Top,42,146938,4875374
Baby,42,177188,5798202
A E O Z,42,518556,16873005
Panis Et Circenses,42,125152,4069688
Chão De Estrelas,42,284813,9433620
Vida De Cachorro,42,195186,6411149
Bat Macumba,42,187794,6295223
Desculpe Babe,42,170422,5637959
Rita Lee,42,189257,6270503
"Posso Perder Minha Mulher, Minha Mãe, Desde Que Eu Tenha O Rock And Roll",42,222955,7346254
Banho De Lua,42,221831,7232123
Meu Refrigerador Não Funciona,42,382981,12495906
Burn,43,453955,14775708
Stormbringer,43,277133,9050022
Gypsy,43,339173,11046952
Lady Double Dealer,43,233586,7608759
Mistreated,43,758648,24596235
Smoke On The Water,43,618031,20103125
You Fool No One,43,804101,26369966
Custard Pie,44,253962,8348257
The Rover,44,337084,11011286
In My Time Of Dying,44,666017,21676727
Houses Of The Holy,44,242494,7972503
Trampled Under Foot,44,336692,11154468
Kashmir,44,508604,16686580
Imperatriz,45,339173,11348710
Beija-Flor,45,327000,10991159
Viradouro,45,344320,11484362
Mocidade,45,261720,8817757
Unidos Da Tijuca,45,338834,11440689
Salgueiro,45,305920,10294741
Mangueira,45,298318,9999506
União Da Ilha,45,330945,11100945
Grande Rio,45,307252,10251428
Portela,45,319608,10712216
Caprichosos,45,351320,11870956
Tradição,45,269165,9114880
Império Serrano,45,334942,11161196
Tuiuti,45,259657,8749492
(Da Le) Yaleo,46,353488,11769507
Love Of My Life,46,347820,11634337
Put Your Lights On,46,285178,9394769
Africa Bamba,46,282827,9492487
Smooth,46,298161,9867455
Do You Like The Way,46,354899,11741062
Maria Maria,46,262635,8664601
Migra,46,329064,10963305
Corazon Espinado,46,276114,9206802
Wishing It Was,46,292832,9771348
El Farol,46,291160,9599353
Primavera,46,378618,12504234
The Calling,46,747755,24703884
Solução,47,247431,8100449
Manuel,47,230269,7677671
Entre E Ouça,47,286302,9391004
Um Contrato Com Deus,47,202501,6636465
Um Jantar Pra Dois,47,244009,8021589
Vamos Dançar,47,226194,7617432
Um Love,47,181603,6095524
Seis Da Tarde,47,238445,7935898
Baixo Rio,47,198008,6521676
Sombras Do Meu Destino,47,280685,9161539
Do You Have Other Loves?,47,295235,9604273
Agora Que O Dia Acordou,47,323213,10572752
Já!!!,47,217782,7103608
A Rua,47,238027,7930264
Now's The Time,48,197459,6358868
Jeru,48,193410,6222536
Compulsion,48,345025,11254474
Tempus Fugit,48,231784,7548434
Walkin',48,807392,26411634
'Round Midnight,48,357459,11590284
Bye Bye Blackbird,48,476003,15549224
New Rhumba,48,277968,9018024
Generique,48,168777,5437017
Summertime,48,200437,6461370
So What,48,564009,18360449
The Pan Piper,48,233769,7593713
Someday My Prince Will Come,48,544078,17890773
My Funny Valentine (Live),49,907520,29416781
E.S.P.,49,330684,11079866
Nefertiti,49,473495,15478450
Petits Machins (Little Stuff),49,487392,16131272
Miles Runs The Voodoo Down,49,843964,27967919
Little Church (Live),49,196101,6273225
Black Satin,49,316682,10529483
Jean Pierre (Live),49,243461,7955114
Time After Time,49,220734,7292197
Portia,49,378775,12520126
Space Truckin',50,1196094,39267613
Going Down / Highway Star,50,913658,29846063
Mistreated (Alternate Version),50,854700,27775442
You Fool No One (Alternate Version),50,763924,24887209
Jeepers Creepers,51,185965,5991903
Blue Rythm Fantasy,51,348212,11204006
Drum Boogie,51,191555,6185636
Let Me Off Uptown,51,187637,6034685
Leave Us Leap,51,182726,5898810
Opus No.1,51,179800,5846041
Boogie Blues,51,204199,6603153
How High The Moon,51,201430,6529487
Disc Jockey Jump,51,193149,6260820
Up An' Atom,51,179565,5822645
Bop Boogie,51,189596,6093124
Lemon Drop,51,194089,6287531
Coronation Drop,51,176222,5899898
Overtime,51,163030,5432236
Imagination,51,289306,9444385
Don't Take Your Love From Me,51,282331,9244238
Midget,51,217025,7257663
I'm Coming Virginia,51,280163,9209827
Payin' Them Dues Blues,51,198556,6536918
Jungle Drums,51,199627,6546063
Showcase,51,201560,6697510
Swedish Schnapps,51,191268,6359750
Samba Da Bênção,52,409965,13490008
Pot-Pourri N.º 4,52,392437,13125975
Onde Anda Você,52,168437,5550356
Samba Da Volta,52,170631,5676090
Canto De Ossanha,52,204956,6771624
Pot-Pourri N.º 5,52,219898,7117769
Formosa,52,137482,4560873
Como É Duro Trabalhar,52,226168,7541177
Minha Namorada,52,244297,7927967
Por Que Será,52,162142,5371483
Berimbau,52,190667,6335548
Deixa,52,179826,5932799
Pot-Pourri N.º 2,52,211748,6878359
Samba Em Prelúdio,52,212636,6923473
Carta Ao Tom 74,52,162560,5382354
Linha de Passe (João Bosco),53,230948,7902328
Pela Luz dos Olhos Teus (Miúcha e Tom Jobim),53,163970,5399626
Chão de Giz (Elba Ramalho),53,274834,9016916
Marina (Dorival Caymmi),53,172643,5523628
Aquarela (Toquinho),53,259944,8480140
Coração do Agreste (Fafá de Belém),53,258194,8380320
Dona (Roupa Nova),53,243356,7991295
Começaria Tudo Outra Vez (Maria Creuza),53,206994,6851151
Caçador de Mim (Sá & Guarabyra),53,238341,7751360
Romaria (Renato Teixeira),53,244793,8033885
As Rosas Não Falam (Beth Carvalho),53,116767,3836641
Wave (Os Cariocas),53,130063,4298006
Garota de Ipanema (Dick Farney),53,174367,5767474
Preciso Apender a Viver Só (Maysa),53,143464,4642359
Susie Q,54,275565,9043825
I Put A Spell On You,54,272091,8943000
Proud Mary,54,189022,6229590
Bad Moon Rising,54,140146,4609835
Lodi,54,191451,6260214
Green River,54,154279,5105874
Commotion,54,162899,5354252
Down On The Corner,54,164858,5521804
Fortunate Son,54,140329,4617559
Travelin' Band,54,129358,4270414
Who'll Stop The Rain,54,149394,4899579
Up Around The Bend,54,162429,5368701
Run Through The Jungle,54,186044,6156567
Lookin' Out My Back Door,54,152946,5034670
Long As I Can See The Light,54,213237,6924024
I Heard It Through The Grapevine,54,664894,21947845
Have You Ever Seen The Rain?,54,160052,5263675
Hey Tonight,54,162847,5343807
Sweet Hitch-Hiker,54,175490,5716603
Someday Never Comes,54,239360,7945235
Walking On The Water,55,281286,9302129
"Suzie-Q, Pt. 2",55,244114,7986637
Born On The Bayou,55,316630,10361866
Good Golly Miss Molly,55,163604,5348175
Tombstone Shadow,55,218880,7209080
Wrote A Song For Everyone,55,296385,9675875
Night Time Is The Right Time,55,190119,6211173
Cotton Fields,55,178181,5919224
It Came Out Of The Sky,55,176718,5807474
Don't Look Now,55,131918,4366455
The Midnight Special,55,253596,8297482
Before You Accuse Me,55,207804,6815126
My Baby Left Me,55,140460,4633440
Pagan Baby,55,385619,12713813
(Wish I Could) Hideaway,55,228466,7432978
It's Just A Thought,55,237374,7778319
Molina,55,163239,5390811
Born To Move,55,342804,11260814
Lookin' For A Reason,55,209789,6933135
Hello Mary Lou,55,132832,4476563
Gatas Extraordinárias,56,212506,7095702
Brasil,56,243696,7911683
Eu Sou Neguinha (Ao Vivo),56,251768,8376000
Geração Coca-Cola (Ao Vivo),56,228153,7573301
Lanterna Dos Afogados,56,204538,6714582
Coroné Antonio Bento,56,200437,6713066
"Você Passa, Eu Acho Graça (Ao Vivo)",56,206733,6943576
Meu Mundo Fica Completo (Com Você),56,247771,8322240
"1° De Julho",56,270262,9017535
Música Urbana 2,56,194899,6383472
Vida Bandida (Ao Vivo),56,192626,6360785
Palavras Ao Vento,56,212453,7048676
Não Sei O Que Eu Quero Da Vida,56,151849,5024963
Woman Is The Nigger Of The World (Ao Vivo),56,298919,9724145
Juventude Transviada (Ao Vivo),56,278622,9183808
Malandragem,57,247588,8165048
O Segundo Sol,57,252133,8335629
Smells Like Teen Spirit (Ao Vivo),57,316865,10384506
E.C.T.,57,227500,7571834
Todo Amor Que Houver Nesta Vida,57,227160,7420347
Metrô. Linha 743,57,174654,5837495
Nós (Ao Vivo),57,193828,6498661
Na Cadência Do Samba,57,196075,6483952
Admirável Gado Novo,57,274390,9144031
Eleanor Rigby,57,189466,6303205
Socorro,57,258586,8549393
Blues Da Piedade,57,257123,8472964
Rubens,57,211853,7026317
Não Deixe O Samba Morrer - Cassia Eller e Alcione,57,268173,8936345
Mis Penas Lloraba Yo (Ao Vivo) Soy Gitano (Tangos),57,188473,6195854
Comin' Home,58,235781,7644604
Lady Luck,58,168202,5501379
Gettin' Tighter,58,218044,7176909
Dealer,58,230922,7591066
I Need Love,58,263836,8701064
Drifter,58,242834,8001505
Love Child,58,188160,6173806
This Time Around / Owed to 'G' [Instrumental],58,370102,11995679
You Keep On Moving,58,319111,10447868
Speed King,59,264385,8587578
Bloodsucker,59,256261,8344405
